Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%				
BTOW3	12h17	34.65136394	5.98	-15.63	-23.2	36.74	-4.793557593	0		0.789555436
MGLU3	12h17	181.3749016	4.21	-3.01	3.02	77.65	2.846619224			-1.890828655
FLRY3	12h17	20.25732475	3.32	-2.41	6.69	-10.96	2.938461103			-0.766671192
VVAR3	12h17	9.705538152	3.05	7.07	0	-26.83	1.868648799			4.939656528
IRBR3	12h17	103.6114103	2.83	8.7	25.48	121.51	0.439492985			-4.701382844
CVCB3	12h17	41.37121112	2.83	-13.59	-19.79	4.06	-4.464976368			-2.424869319
MRVE3	12h17	20.50913527	2.76	17.92	38.43	54.67	-0.395137288			1.170950285
BBDC3	12h17	38.99858314	2.73	0.96	11.17	44.71	1.523047583			4.952109697
PCAR4	12h17	91.41757028	2.72	-10.84	7.13	19.01	-1.248699384			0.325110748
LREN3	12h17	31.26956437	2.69	0.19	11.67	58.64	2.447822832			3.585251994
SANB11	12h17	54.73238472	2.54	-0.56	8.34	39.83	-1.659387851			1.296914355
RADL3	12h17	59.02818565	2.54	-2.53	18.23	10.24	2.784320651			-4.168916531
BBDC4	12h17	23.62908816	2.53	0.19	10.9	50.18	-1.345972024			-0.61754742
B3SA3	12h17	33.9727235	2.51	3.28	33.48	78.99	2.922866324			-0.906822693
ITUB4	12h17	40.78495034	2.38	0.37	0.58	26.96	3.423897923			3.940461061
ITSA4	12h17	10.48863551	2.33	-0.5	4.12	26.01	-1.028335507			1.17563115
AZUL4	12h17	40.80829724	2.3	9.68	3.58	38.11	3.424150443			4.706441249
BBAS3	12h17	44.12635177	2.25	4.87	13.65	94.84	-0.182408598			-4.353252469
LAME4	12h17	11.12230393	2.22	-0.57	-20.35	-9.46	-4.684601189			-2.996111974
WEGE3	12h17	24.12513505	2.19	0.59	7.3	7.71	-4.18914658			2.689021631
BRML3	12h17	10.77070183	2.14	1.42	-4.05	26.38	2.100431353			-0.115242072
TAEE11	12h17	15.09085659	2.02	-0.44	10.73	55.35	2.25911173			-2.822117805
IGTA3	12h17	34.71195087	2.02	1.89	-4.38	26	3.672590557			0.535045788
ENBR3	12h17	21.31695075	1.98	8.91	36.45	52.02	-4.023287322			0.102026367
SBSP3	12h17	49.49303195	1.83	-9	35.78	66.61	-4.835865358			2.746381747
CSAN3	12h17	49.79907986	1.75	-0.02	40.05	25.03	3.813916271			-4.970120205
SMLS3	12h17	51.60759693	1.68	-5.16	14.01	-10.08	-0.163997722			-3.611914849
EGIE3	12h17	52.86792945	1.62	-4.04	29.3	57.5	4.22807047			-0.162993163
GOLL4	12h17	29.03580451	1.53	13.65	3.15	95.4	-4.016757549			2.97539333
RAIL3	12h17	8.590247157	1.42	2.54	9.18	37.28	1.339485675			1.380082263
BRKM5	12h17	43.85373144	1.36	-12.39	-11.65	-8.6	1.323122032			0.148681871
ABEV3	12h17	10.46079151	1.34	-5.52	13.46	-9.1	0.596934344			-4.106447767
MULT3	12h17	19.56184984	1.3	-2.09	-3.03	24.52	-2.230610329			2.134626171
BRDT3	12h17	26.07487911	1.26	-1.31	-0.07	58.89	-0.687112273			-4.542117952
HYPE3	12h17	36.3255464	1.23	8.12	1.55	16.62	-1.888859527			1.21222516
GOAU4	12h17	8.164698941	1.08	3.05	1.68	8.39	1.667313395			-4.405231032
VALE3	12h17	49.31644007	1.08	1.26	-0.53	2.2	-2.591274999			4.193445151
PETR4	12h17	32.19221782	1.07	-1.88	17.29	63.64	3.897019404			1.536690524
BBSE3	12h17	20.84979739	1.06	4.74	9.88	22.42	1.718451279			4.64774752
ELET3	12h17	43.17658496	1.05	3.18	39.25	141	-4.351572437			-3.640252492
KLBN11	12h17	19.07257364	0.97	-5.15	-0.75	-20.32	2.722316312			1.270901521
GGBR4	12h17	6.45054303	0.94	-0.91	-4.75	-3.35	2.012462666			3.184501285
BRAP4	12h17	29.70633121	0.87	0.11	2.87	2.67	-4.307756256			-0.368283005
VIVT4	12h17	48.78488477	0.81	1.96	6.99	18.97	4.869667287			-0.140139957
NATU3	12h17	63.82462512	0.8	18.38	38.18	85.61	-3.064034118			-2.287597011
RENT3	12h17	34.17559336	0.78	3.65	26.49	58.67	1.304837371			-2.717707012
CCRO3	12h17	6.122914246	0.76	16.17	21.26	39.28	-2.309301807			-0.111396387
CMIG4	12h17	6.143352288	0.73	-3.3	2.84	97.66	4.052886578			-4.791007543
USIM5	12h17	11.95900457	0.73	-3.94	-8.67	0.84	-0.970765358			2.249785602
BRFS3	12h17	30.72461475	0.7	2.16	44.64	44.18	1.505521092			0.959970064
EQTL3	12h17	78.46322229	0.7	1.74	12.03	40.45	-2.549262845			2.743053083
PETR3	12h17	39.04388928	0.63	-3.2	14.25	47.8	3.43855597			-4.022950193
ELET6	12h17	35.67786984	0.61	0.78	23.96	113.58	-4.011461879			-3.782131516
JBSS3	12h17	28.24491121	0.58	14.53	95.36	139.35	3.057972242			-4.846641629
SUZB3	12h17	31.19001037	0.49	-15.1	-8.2	-22.31	3.029225777			-2.398799846
EMBR3	12h17	8.193053718	0.43	-3.77	-12.82	-15.28	4.112785828			4.10530014
CYRE3	12h17	17.30976768	0.42	-5.23	8.92	52.01	2.174982933			-1.914651809
CIEL3	12h17	9.829203962	0.41	-5.21	-15.7	-51.7	-1.553609696			1.878032535
ESTC3	12h17	38.16256713	0.34	8.35	26.9	31.05	-2.983078533			-2.897478353
TIMP3	12h17	3.888978039	0.28	-8.13	-8.18	-14.82	-2.11842875			-0.867662127
QUAL3	12h17	20.71498532	0.2	13.78	51.82	9.91	3.352316133			4.590268635
UGPA3	12h17	12.68773326	0.2	-6.24	-24.99	-14.27	-4.700322545			-1.40098665
KROT3	12h17	21.91339015	0.2	3.22	13.73	-4.43	-1.349628345			3.888981729
MRFG3	12h17	8.417437667	0	-3.28	29.67	-12.27	0.224274066			0.885624636
ECOR3	12h17	16.51616808	-0.55	11.34	-3.73	25.79	3.224071673			2.721446386
