Codigo	Data	Ultimo	Abertura	Minimo	Medio	Maximo	Fechamento	Variacao	Variacao_7D	Variacao_Semana	Variacao_30D	Variacao_Mes	Variacao_365D	Variacao_ANO
ABEV3	26/06	18.1	NaN	NaN	NaN	NaN	18.17	-0.39	NaN	NaN	NaN	NaN	NaN	NaN
AZUL4	26/06	42.39	NaN	NaN	NaN	NaN	42.6	-0.49	NaN	NaN	NaN	NaN	NaN	NaN
B3SA3	26/06	36.9	NaN	NaN	NaN	NaN	37.5	-1.6	NaN	NaN	NaN	NaN	NaN	NaN
BBAS3	26/06	53.69	NaN	NaN	NaN	NaN	52.55	2.17	NaN	NaN	NaN	NaN	NaN	NaN
BBDC3	26/06	33.4	NaN	NaN	NaN	NaN	33.27	0.39	NaN	NaN	NaN	NaN	NaN	NaN
BBDC4	26/06	38.08	NaN	NaN	NaN	NaN	37.61	1.25	NaN	NaN	NaN	NaN	NaN	NaN
BBSE3	26/06	32.47	NaN	NaN	NaN	NaN	31.75	2.27	NaN	NaN	NaN	NaN	NaN	NaN
BRAP4	26/06	32.68	NaN	NaN	NaN	NaN	32.3	1.18	NaN	NaN	NaN	NaN	NaN	NaN
BRDT3	26/06	25	NaN	NaN	NaN	NaN	24.29	2.92	NaN	NaN	NaN	NaN	NaN	NaN
BRFS3	26/06	28.52	NaN	NaN	NaN	NaN	28.75	-0.8	NaN	NaN	NaN	NaN	NaN	NaN
BRKM5	26/06	35.73	NaN	NaN	NaN	NaN	35.69	0.11	NaN	NaN	NaN	NaN	NaN	NaN
BRML3	26/06	14.11	NaN	NaN	NaN	NaN	14.15	-0.28	NaN	NaN	NaN	NaN	NaN	NaN
BTOW3	26/06	32.79	NaN	NaN	NaN	NaN	32.8	-0.03	NaN	NaN	NaN	NaN	NaN	NaN
CCRO3	26/06	13.89	NaN	NaN	NaN	NaN	13.95	-0.43	NaN	NaN	NaN	NaN	NaN	NaN
CIEL3	26/06	6.94	NaN	NaN	NaN	NaN	6.95	-0.14	NaN	NaN	NaN	NaN	NaN	NaN
CMIG4	26/06	14.33	NaN	NaN	NaN	NaN	14.39	-0.42	NaN	NaN	NaN	NaN	NaN	NaN
CSAN3	26/06	46.4	NaN	NaN	NaN	NaN	45.17	2.72	NaN	NaN	NaN	NaN	NaN	NaN
CSNA3	26/06	16.16	NaN	NaN	NaN	NaN	16.08	0.5	NaN	NaN	NaN	NaN	NaN	NaN
CVCB3	26/06	50.75	NaN	NaN	NaN	NaN	51.51	-1.48	NaN	NaN	NaN	NaN	NaN	NaN
CYRE3	26/06	19.69	NaN	NaN	NaN	NaN	19.4	1.49	NaN	NaN	NaN	NaN	NaN	NaN
ECOR3	26/06	10.53	NaN	NaN	NaN	NaN	10.51	0.19	NaN	NaN	NaN	NaN	NaN	NaN
EGIE3	26/06	42.49	NaN	NaN	NaN	NaN	42.43	0.14	NaN	NaN	NaN	NaN	NaN	NaN
ELET3	26/06	33.89	NaN	NaN	NaN	NaN	33.03	2.6	NaN	NaN	NaN	NaN	NaN	NaN
ELET6	26/06	34.91	NaN	NaN	NaN	NaN	34.2	2.08	NaN	NaN	NaN	NaN	NaN	NaN
EMBR3	26/06	19.02	NaN	NaN	NaN	NaN	18.93	0.48	NaN	NaN	NaN	NaN	NaN	NaN
ENBR3	26/06	18.4	NaN	NaN	NaN	NaN	18.2	1.1	NaN	NaN	NaN	NaN	NaN	NaN
EQTL3	26/06	89	NaN	NaN	NaN	NaN	89.15	-0.18	NaN	NaN	NaN	NaN	NaN	NaN
ESTC3	26/06	28.27	NaN	NaN	NaN	NaN	28.49	-0.77	NaN	NaN	NaN	NaN	NaN	NaN
FLRY3	26/06	21.1	NaN	NaN	NaN	NaN	20.98	0.57	NaN	NaN	NaN	NaN	NaN	NaN
GGBR4	26/06	15.09	NaN	NaN	NaN	NaN	14.75	2.31	NaN	NaN	NaN	NaN	NaN	NaN
