Ativo	Data	Últ. R$	Var.Dia%	Var.Mes%	Var.Ano%	Var.12M%
BTOW3	12h17	32,27	5,98	-15,63	-23,20	36,74
MGLU3	12h17	185,50	4,21	-3,01	3,02	77,65
FLRY3	12h17	20,25	3,32	-2,41	6,69	-10,96
VVAR3	12h17	4,39	3,05	7,07	0,00	-26,83
IRBR3	12h17	102,07	2,83	8,70	25,48	121,51
CVCB3	12h17	49,05	2,83	-13,59	-19,79	4,06
MRVE3	12h17	17,11	2,76	17,92	38,43	54,67
BBDC3	12h17	31,28	2,73	0,96	11,17	44,71
PCAR4	12h17	86,04	2,72	-10,84	7,13	19,01
LREN3	12h17	42,70	2,69	0,19	11,67	58,64
SANB11	12h17	44,76	2,54	-0,56	8,34	39,83
RADL3	12h17	67,39	2,54	-2,53	18,23	10,24
BBDC4	12h17	35,63	2,53	0,19	10,90	50,18
B3SA3	12h17	35,58	2,51	3,28	33,48	78,99
ITUB4	12h17	33,94	2,38	0,37	0,58	26,96
ITSA4	12h17	11,85	2,33	-0,50	4,12	26,01
AZUL4	12h17	37,29	2,30	9,68	3,58	38,11
BBAS3	12h17	51,73	2,25	4,87	13,65	94,84
LAME4	12h17	15,63	2,22	-0,57	-20,35	-9,46
WEGE3	12h17	18,69	2,19	0,59	7,30	7,71
BRML3	12h17	12,39	2,14	1,42	-4,05	26,38
TAEE11	12h17	25,70	2,02	-0,44	10,73	55,35
IGTA3	12h17	38,90	2,02	1,89	-4,38	26,00
ENBR3	12h17	19,07	1,98	8,91	36,45	52,02
SBSP3	12h17	42,77	1,83	-9,00	35,78	66,61
CSAN3	12h17	45,86	1,75	-0,02	40,05	25,03
SMLS3	12h17	46,47	1,68	-5,16	14,01	-10,08
EGIE3	12h17	42,60	1,62	-4,04	29,30	57,50
GOLL4	12h17	25,89	1,53	13,65	3,15	95,40
RAIL3	12h17	18,56	1,42	2,54	9,18	37,28
BRKM5	12h17	41,86	1,36	-12,39	-11,65	-8,60
ABEV3	12h17	17,45	1,34	-5,52	13,46	-9,10
MULT3	12h17	23,46	1,30	-2,09	-3,03	24,52
BRDT3	12h17	23,39	1,26	-1,31	-0,07	58,89
HYPE3	12h17	30,36	1,23	8,12	1,55	16,62
GOAU4	12h17	6,57	1,08	3,05	1,68	8,39
VALE3	12h17	50,73	1,08	1,26	-0,53	2,20
PETR4	12h17	26,52	1,07	-1,88	17,29	63,64
BBSE3	12h17	29,60	1,06	4,74	9,88	22,42
ELET3	12h17	33,74	1,05	3,18	39,25	141,00
KLBN11	12h17	15,56	0,97	-5,15	-0,75	-20,32
GGBR4	12h17	13,95	0,94	-0,91	-4,75	-3,35
BRAP4	12h17	31,34	0,87	0,11	2,87	2,67
VIVT4	12h17	47,13	0,81	1,96	6,99	18,97
NATU3	12h17	61,84	0,80	18,38	38,18	85,61
RENT3	12h17	37,51	0,78	3,65	26,49	58,67
CCRO3	12h17	13,25	0,76	16,17	21,26	39,28
CMIG4	12h17	13,81	0,73	-3,30	2,84	97,66
USIM5	12h17	8,29	0,73	-3,94	-8,67	0,84
BRFS3	12h17	31,72	0,70	2,16	44,64	44,18
EQTL3	12h17	82,56	0,70	1,74	12,03	40,45
PETR3	12h17	28,92	0,63	-3,20	14,25	47,80
ELET6	12h17	34,92	0,61	0,78	23,96	113,58
JBSS3	12h17	22,64	0,58	14,53	95,36	139,35
SUZB3	12h17	34,58	0,49	-15,10	-8,20	-22,31
EMBR3	12h17	18,90	0,43	-3,77	-12,82	-15,28
CYRE3	12h17	16,85	0,42	-5,23	8,92	52,01
CIEL3	12h17	7,28	0,41	-5,21	-15,70	-51,70
ESTC3	12h17	29,45	0,34	8,35	26,90	31,05
TIMP3	12h17	10,74	0,28	-8,13	-8,18	-14,82
QUAL3	12h17	19,57	0,20	13,78	51,82	9,91
UGPA3	12h17	19,69	0,20	-6,24	-24,99	-14,27
KROT3	12h17	10,00	0,20	3,22	13,73	-4,43
MRFG3	12h17	7,08	0,00	-3,28	29,67	-12,27
ECOR3	12h17	9,03	-0,55	11,34	-3,73	25,79
CSNA3	12h17	17,86	-1,87	28,87	111,97	154,94
